time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2022-01-03 09:30:00-05:00,MLTrader,43a2484502d044c08551d9e3d0aecfaf,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-01-03 09:30:00-05:00,MLTrader,43a2484502d044c08551d9e3d0aecfaf,SPY,sell,market,fill,1,gtc,0.0,1,stock,476.29998779296875,105.0,0.0
2022-01-14 09:30:00-05:00,MLTrader,a9a3d57017d84cde8243739bda444867,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-01-14 09:30:00-05:00,MLTrader,a9a3d57017d84cde8243739bda444867,SPY,sell,market,fill,1,gtc,0.0,1,stock,461.19000244140625,163.0,0.0
2022-01-21 09:30:00-05:00,MLTrader,a54df61a2c5545f3a5f0b424642ac0c7,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-01-21 09:30:00-05:00,MLTrader,a54df61a2c5545f3a5f0b424642ac0c7,SPY,sell,market,fill,1,gtc,0.0,1,stock,445.55999755859375,253.0,0.0
2022-03-04 09:30:00-05:00,MLTrader,40f5739d42d14ef7b96825934fb539e1,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-03-04 09:30:00-05:00,MLTrader,40f5739d42d14ef7b96825934fb539e1,SPY,sell,market,fill,1,gtc,0.0,1,stock,431.75,391.0,0.0
2022-03-18 09:30:00-04:00,MLTrader,c35ebad9cde54a2ab51f4a68cf55c9e8,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-03-18 09:30:00-04:00,MLTrader,c35ebad9cde54a2ab51f4a68cf55c9e8,SPY,sell,market,fill,1,gtc,0.0,1,stock,438.0,578.0,0.0
2022-03-24 09:30:00-04:00,MLTrader,e2541fc3cea24df590c798ed8d5b6857,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-03-24 09:30:00-04:00,MLTrader,e2541fc3cea24df590c798ed8d5b6857,SPY,sell,market,fill,1,gtc,0.0,1,stock,451.1600036621094,842.0,0.0
2022-03-28 08:30:00-04:00,MLTrader,924f6e9803c746beac58244891b8465c,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-03-28 08:30:00-04:00,MLTrader,ae719a67290f4028930ff7238b3d29a5,SPY,buy,stop,fill,1,day,0.0,1,stock,460.0199890136719,391.0,0.0
2022-03-28 08:30:00-04:00,MLTrader,b0d4a31bab854609b8633f9254cda102,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-03-28 08:30:00-04:00,MLTrader,fd5d932f923f4631a4553927eb261cef,SPY,buy,stop,fill,1,day,0.0,1,stock,460.0199890136719,578.0,0.0
2022-04-19 09:30:00-04:00,MLTrader,a84c93d2fefa4db8a155b61e5600c998,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-04-19 09:30:00-04:00,MLTrader,a84c93d2fefa4db8a155b61e5600c998,SPY,sell,market,fill,1,gtc,0.0,1,stock,446.9200134277344,776.0,0.0
2022-04-21 09:30:00-04:00,MLTrader,24b27e7f103a4e88a6da0f088e5dd7e4,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-04-21 09:30:00-04:00,MLTrader,24b27e7f103a4e88a6da0f088e5dd7e4,SPY,sell,market,fill,1,gtc,0.0,1,stock,436.9100036621094,1191.0,0.0
2022-04-22 09:30:00-04:00,MLTrader,0c4c1bf4af184a2684eccc0749b07143,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-04-22 09:30:00-04:00,MLTrader,0c4c1bf4af184a2684eccc0749b07143,SPY,sell,market,fill,1,gtc,0.0,1,stock,436.9100036621094,1787.0,0.0
2022-04-27 09:30:00-04:00,MLTrader,29d7d7346da84f36aedcf5ea2f70eda5,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-04-27 09:30:00-04:00,MLTrader,29d7d7346da84f36aedcf5ea2f70eda5,SPY,sell,market,fill,1,gtc,0.0,1,stock,422.2900085449219,2773.0,0.0
2022-04-28 09:30:00-04:00,MLTrader,ddf8a9913bd1485da8f5279db6d71b39,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-04-28 09:30:00-04:00,MLTrader,ddf8a9913bd1485da8f5279db6d71b39,SPY,sell,market,fill,1,gtc,0.0,1,stock,423.5899963378906,4147.0,0.0
2022-05-19 09:30:00-04:00,MLTrader,2524f3e44ba745bb8c3e3244b24bb791,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2022-05-19 09:30:00-04:00,MLTrader,7707888af59c4433a0b4d2d0deb84f93,SPY,buy,limit,fill,1,day,0.0,1,stock,381.039990234375,105.0,0.0
2022-06-10 09:30:00-04:00,MLTrader,bcad97f987fe4ec3a1e5af181a7ea4fd,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-06-10 09:30:00-04:00,MLTrader,bcad97f987fe4ec3a1e5af181a7ea4fd,SPY,sell,market,fill,1,gtc,0.0,1,stock,394.8800048828125,6622.0,0.0
2022-06-15 09:30:00-04:00,MLTrader,c8c8e2ba66a148ddb8928948c79848af,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-06-15 09:30:00-04:00,MLTrader,a145baef66734bddb9349d6866ab2355,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2022-06-15 09:30:00-04:00,MLTrader,c6a1062852b0460e9c96c754d70a8006,SPY,buy,limit,fill,1,day,0.0,1,stock,368.95200195312503,163.0,0.0
2022-06-15 09:30:00-04:00,MLTrader,c8c8e2ba66a148ddb8928948c79848af,SPY,sell,market,fill,1,gtc,0.0,1,stock,370.510009765625,10586.0,0.0
2022-06-23 09:30:00-04:00,MLTrader,00aa3552b4c1450c896106e365debdc5,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-06-23 09:30:00-04:00,MLTrader,fb38e2bc854548b08d4b297d5ee1c08c,SPY,buy,stop,fill,1,day,0.0,1,stock,389.03551025390624,10586.0,0.0
2022-06-28 09:30:00-04:00,MLTrader,cdddef23015849dd97c53bd33c14950d,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-06-28 09:30:00-04:00,MLTrader,cdddef23015849dd97c53bd33c14950d,SPY,sell,market,fill,1,gtc,0.0,1,stock,381.2300109863281,9952.0,0.0
2022-07-07 09:30:00-04:00,MLTrader,91de3b45e2dc4c1c973675496055380b,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
